NAME;TblName;Combine;LOB;ULAE;d;a;nbara;ALAE;nbarc;Trend_date;c;risk_parm;Trend_factor; 100 000 ; 250 000 ; 300 000 ; 400 000 ; 500 000 ; 750 000 ; 1 000 000 ; 1 500 000 ; 2 000 000 ; 2 500 000 ; 3 000 000 ; 5 000 000 ; 7 500 000 ; 10 000 000 ;Mean1;Mean2;Mean3;Mean4;Mean5;Mean6;Mean7;Mean8;Mean9;Mean10;Mean11;Mean12;Wt1;Wt2;Wt3;Wt4;Wt5;Wt6;Wt7;Wt8;Wt9;Wt10;Wt11;Wt12;;
STATE GROUP MULTISTATE L & M;STATE_GROUP_MULTISTATE_L_M;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP MULTISTATE HEAVY;STATE_GROUP_MULTISTATE_HEAVY;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP MULTISTATE X-HEAVY;STATE_GROUP_MULTISTATE_XHEAVY;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP MULTISTATE ZONE RATED;STATE_GROUP_MULTISTATE_ZONE_RATED;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP MULTISTATE ALL OTHER;STATE_GROUP_MULTISTATE_ALL_OTHER;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA COMBINED;CA_COMB;PRAWDA;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOSPITALS LIABILITY GRP A;HOSP_LIAB_STATE_GROUP_A;FA£SZ;HOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOSPITALS LIABILITY GRP B;HOSP_LIAB_STATE_GROUP_B;FA£SZ;HOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOSP LIABILITY MULTISTATE;HOSP_LIAB_MULTISTATE;FA£SZ;HOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHYSICIANS LIABILITY GRP A;PHY_LIAB_STATE_GROUP_A;FA£SZ;PHY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
